Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition
0616822L,23-Oct-02,10/14/2002 0:00,JFK,John F. Kennedy International,American Airlines,Property Damage,Checkpoint,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,10.00 ,Approved,10.00 ,Approve in Full
21252,23-Oct-02,10/6/2002 0:00,SLC,Salt Lake City International Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,20.00 ,Approved,20.00 ,Approve in Full
21030,23-Oct-02,10/7/2002 0:00,JFK,John F. Kennedy International,American Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),50.00 ,Settled,30.00 ,Settle
20930,25-Oct-02,10/2/2002 0:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checkpoint,Jewelry - Fine,120.00 ,Approved,120.00 ,Approve in Full
19225,28-Oct-02,10/2/2002 0:00,SMF,Sacramento International Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Luggage (all types including footlockers),263.00 ,Approved,263.00 ,Approve in Full
20849,28-Oct-02,9/11/2002 0:00,DTW,Detroit Metropolitan Wayne County Airport,American Airlines,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),208.16 ,Approved,208.00 ,Approve in Full
0616549L,29-Oct-02,9/28/2002 0:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines,Property Damage,Checkpoint,Computer - Laptop,250.00 ,Approved,250.00 ,Approve in Full
21807,29-Oct-02,10/9/2002 0:00,EWR,Newark International Airport,American Airlines,Passenger Property Loss,Checkpoint,Other,499.00 ,Approved,499.00 ,Approve in Full
19674,29-Oct-02,10/15/2002 0:00,CMH,Port Columbus International,American Airlines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,97.00 ,Settled,35.00 ,Settle
0616816L,1-Nov-02,10/6/2002 0:00,OKC,Will Rogers World,American Airlines,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),112.00 ,Approved,112.00 ,Approve in Full
17483,1-Nov-02,10/27/2002 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checkpoint,Other,420.00 ,Approved,420.00 ,Approve in Full
21971,1-Nov-02,8/9/2002 0:00,JFK,John F. Kennedy International,Jet Blue,Property Damage,Checkpoint,Luggage (all types including footlockers),25.00 ,Approved,25.00 ,Approve in Full
21990,1-Nov-02,10/18/2002 0:00,SAN,San Diego International,Delta Air Lines,Property Damage,Checkpoint,Other,80.00 ,Approved,80.00 ,Approve in Full
2004122170141,4-Nov-02,10/7/2004 0:00,TOL,Toledo Express,Tran Meridian Airlines,Passenger Property Loss,Checked Baggage,Other,40.00 ,Approved,40.00 ,Approve in Full
0728500M,4-Nov-02,7/24/2002 0:00,MIA,Miami International Airport,American Airlines,Property Damage,Checked Baggage,Other,598.00 ,Denied,0.00 ,Deny
20074,5-Nov-02,10/10/2002 0:00,SLC,Salt Lake City International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Other,20.00 ,Approved,20.00 ,Approve in Full
24643,5-Nov-02,10/26/2002 0:00,MCO,Orlando International Airport,Delta Air Lines,Property Damage,Checkpoint,Luggage (all types including footlockers),200.00 ,Approved,197.00 ,Approve in Full
19744,5-Nov-02,10/18/2002 0:00,PVD,TF Green Airport; Providence,Southwest Airlines,Passenger Property Loss,Checkpoint,Jewelry - Fine,280.00 ,Denied,280.00 ,Deny
0717503M,6-Nov-02,10/24/2002 0:00,CVG,Cincinnati/Northern Kentucky International,Delta Air Lines,Property Damage,Checkpoint,Other,167.00 ,Approved,167.00 ,Approve in Full
20156,6-Nov-02,10/27/2002 0:00,LAS,McCarran International,Spirit Airlines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,244.00 ,Approved,244.00 ,Approve in Full
19886,7-Nov-02,10/23/2002 0:00,PHX,Phoenix Sky Harbor International,America West,Passenger Property Loss,Checkpoint,Jewelry - Fine,204.00 ,Approved,204.00 ,Approve in Full
20113,7-Nov-02,10/15/2002 0:00,JFK,John F. Kennedy International,American Airlines,Passenger Property Loss,Checkpoint,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,700.00 ,Approved,700.00 ,Approve in Full
19907,7-Nov-02,10/6/2002 0:00,TPA,Tampa International,Delta Air Lines,Passenger Property Loss,Checkpoint,Eyeglasses - (including contact lenses),1200.00 ,Settled,1000.00 ,Settle
25231,7-Nov-02,10/8/2002 0:00,RIC,Richmond International,USAir,Property Damage,Checkpoint,Jewelry - Fine,150.00 ,Settled,78.80 ,Settle
17591,12-Nov-02,10/3/2002 0:00,MCO,Orlando International Airport,Spirit Airlines,Passenger Property Loss,Checkpoint,Cell Phones,500.00 ,Approved,500.00 ,Approve in Full
18671,12-Nov-02,9/24/2002 0:00,ORD,Chicago O'Hare International Airport,Southwest Airlines,Property Damage,Checkpoint,Computer - Laptop,2342.41 ,Approved,2342.00 ,Approve in Full
19958,12-Nov-02,10/22/2002 0:00,ELP,El Paso International Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Clothing - Shoes; belts; accessories; etc.,37.00 ,Approved,37.00 ,Approve in Full
26080,12-Nov-02,10/1/2002 0:00,BNA,Nashville International,Southwest Airlines,Property Damage,Checkpoint,Cameras - Digital,500.00 ,Approved,229.00 ,Approve in Full
19306,12-Nov-02,10/4/2002 0:00,LGA,LaGuardia,Continental Airlines,Passenger Property Loss,Checkpoint,Cameras - Digital,828.05 ,Settled,742.25 ,Settle
19767,13-Nov-02,10/20/2002 0:00,MEM,Memphis International Airport,Northwest Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),65.00 ,Approved,65.00 ,Approve in Full
19827,13-Nov-02,10/22/2002 0:00,LAS,McCarran International,American Airlines,Passenger Property Loss,Checkpoint,Other,100.00 ,Approved,100.00 ,Approve in Full
19962,13-Nov-02,10/9/2002 0:00,SEA,Seattle-Tacoma International,Alaska Airlines,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),448.00 ,Approved,435.00 ,Approve in Full
19975,13-Nov-02,9/21/2002 0:00,MCO,Orlando International Airport,USAir,Passenger Property Loss,Checkpoint,Jewelry - Fine,45.00 ,Approved,45.00 ,Approve in Full
20057,13-Nov-02,10/9/2002 0:00,ABE,Lehigh Valley International Airport; Allentown,Northwest Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),50.00 ,Approved,50.00 ,Approve in Full
26043,13-Nov-02,10/25/2002 0:00,DCA,Ronald Reagan Washington National Airport,Delta Air Lines,Property Damage,Checkpoint,Other,13.98 ,Approved,15.00 ,Approve in Full
26156,13-Nov-02,11/3/2002 0:00,SMF,Sacramento International Airport,Southwest Airlines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,45.00 ,Approved,45.00 ,Approve in Full
2004062557366,13-Nov-02,9/9/2002 0:00,DEN,Denver International Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,151.82 ,Settled,75.91 ,Settle
26145,13-Nov-02,10/22/2002 0:00,SLC,Salt Lake City International Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),350.00 ,Settled,332.50 ,Settle
19940,14-Nov-02,10/13/2002 0:00,RNO,Reno/Tahoe International,Frontier Airlines,Property Damage,Checkpoint,Other,75.48 ,Approved,75.48 ,Approve in Full
20371,14-Nov-02,11/4/2002 0:00,SEA,Seattle-Tacoma International,Alaska Airlines,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),575.00 ,Approved,528.00 ,Approve in Full
20610,14-Nov-02,10/30/2002 0:00,HNL,Honolulu International Airport,American Airlines,Property Damage,Checkpoint,Other,199.99 ,Approved,200.00 ,Approve in Full
20106,14-Nov-02,10/27/2002 0:00,CLE,Cleveland Hopkins International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,2500.00 ,Denied,0.00 ,Deny
0616547L,14-Nov-02,10/29/2002 0:00,IAD,Washington Dulles International,American West,Passenger Property Loss,Other,Luggage (all types including footlockers),2250.00 ,Settled,1000.00 ,Settle
20452,14-Nov-02,9/19/2002 0:00,PIT,Pittsburgh International Airport,USAir,Property Damage,Checkpoint,Computer - Laptop,1200.00 ,Settled,1038.78 ,Settle
20472,14-Nov-02,11/4/2002 0:00,ELP,El Paso International Airport,Southwest Airlines,Property Damage,Checkpoint,Jewelry - Fine,195.00 ,Settled,146.25 ,Settle
20589,15-Nov-02,10/23/2002 0:00,IAD,Washington Dulles International,Delta Air Lines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,39.00 ,Approved,39.00 ,Approve in Full
27123,15-Nov-02,10/30/2002 0:00,PDX,Portland International,Delta Air Lines,Passenger Property Loss,Checkpoint,Jewelry - Fine,225.00 ,Approved,225.00 ,Approve in Full
0715513M,15-Nov-02,9/13/2003 0:00,JFK,John F. Kennedy International,American Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),330.45 ,Settled,280.88 ,Settle
20239,15-Nov-02,10/3/2002 0:00,PIT,Pittsburgh International Airport,USAir,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),130.00 ,Settled,117.00 ,Settle
22215,15-Nov-02,9/5/2002 0:00,PVD,TF Green Airport; Providence,Northwest Airlines,Property Damage,Checkpoint,Computer - Laptop,1344.13 ,Settled,1338.96 ,Settle
27133,15-Nov-02,10/20/2002 0:00,SNA,John Wayne,American Airlines,Property Damage,Checkpoint,PDA - Personal Data Assistants,179.99 ,Settled,127.94 ,Settle
20867,18-Nov-02,10/6/2002 0:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checkpoint,Baby - Strollers; car seats; playpen; etc.,110.00 ,Approved,110.00 ,Approve in Full
26221,18-Nov-02,10/26/2002 0:00,PHL,Philadelphia International Airport,USAir,Passenger Property Loss,Checkpoint,Clothing - Shoes; belts; accessories; etc.,500.00 ,Approved,500.00 ,Approve in Full
27269,18-Nov-02,11/7/2002 0:00,SLC,Salt Lake City International Airport,America West,Passenger Property Loss,Other,PDA - Personal Data Assistants,900.00 ,Denied,0.00 ,Deny
20230,18-Nov-02,9/8/2002 0:00,JFK,John F. Kennedy International,Jet Blue,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,180.00 ,Settled,144.00 ,Settle
19888,19-Nov-02,8/28/2002 0:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checkpoint,Currency,60.00 ,Approved,60.00 ,Approve in Full
0715520M,20-Nov-02,10/16/2002 0:00,JFK,John F. Kennedy International,American Airlines,Passenger Property Loss,Checkpoint,Cameras - Digital,350.00 ,Approved,300.00 ,Approve in Full
17289,20-Nov-02,8/28/2002 0:00,LGA,LaGuardia,UAL,Passenger Property Loss,Checkpoint,Other,20.00 ,Approved,20.00 ,Approve in Full
17869,20-Nov-02,9/7/2002 0:00,CLE,Cleveland Hopkins International,Southwest Airlines,Property Damage,Checkpoint,Jewelry - Fine,322.29 ,Approved,322.00 ,Approve in Full
18730,20-Nov-02,9/24/2002 0:00,DEN,Denver International Airport,UAL,Passenger Property Loss,Checkpoint,Currency,60.00 ,Approved,60.00 ,Approve in Full
18982,20-Nov-02,9/25/2002 0:00,PWM,Portland International Jetport,UAL,Passenger Property Loss,Checked Baggage,Other,30.00 ,Approved,30.00 ,Approve in Full
19202,20-Nov-02,9/29/2002 0:00,EWR,Newark International Airport,Delta Air Lines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,87.00 ,Approved,87.00 ,Approve in Full
19210,20-Nov-02,10/2/2002 0:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines,Property Damage,Checkpoint,Computer - Laptop,1097.33 ,Approved,1097.00 ,Approve in Full
19339,20-Nov-02,9/13/2002 0:00,LGA,LaGuardia,USAir,Property Damage,Checkpoint,Other,84.53 ,Approved,85.00 ,Approve in Full
19519,20-Nov-02,9/21/2002 0:00,RSW,Southwest Florida International,Delta Air Lines,Passenger Property Loss,Checkpoint,Other,30.00 ,Approved,30.00 ,Approve in Full
20712,20-Nov-02,11/9/2002 0:00,ORF,Norfolk International,American Airlines,Property Damage,Checkpoint,Other,324.00 ,Approved,324.00 ,Approve in Full
21655,20-Nov-02,9/2/2002 0:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,98.00 ,Approved,98.00 ,Approve in Full
23669,20-Nov-02,10/13/2002 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checkpoint,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,20.00 ,Approved,20.00 ,Approve in Full
0715524M,20-Nov-02,10/13/2002 0:00,RDU,Raleigh-Durham International,American Airlines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,239.00 ,Denied,0.00 ,Deny
18251,20-Nov-02,9/11/2002 0:00,ORD,Chicago O'Hare International Airport,UAL,Property Damage,Checkpoint,Computer - Laptop,1844.38 ,Settled,768.67 ,Settle
18708,20-Nov-02,9/3/2002 0:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checkpoint,Eyeglasses - (including contact lenses),289.90 ,Settled,264.61 ,Settle
19140,20-Nov-02,9/29/2002 0:00,LGA,LaGuardia,Continental Airlines,Passenger Property Loss,Checkpoint,Cameras - Digital,200.00 ,Settled,100.00 ,Settle
20053,20-Nov-02,10/27/2002 0:00,PHL,Philadelphia International Airport,Delta Air Lines,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),149.00 ,Settled,141.55 ,Settle
19662,21-Nov-02,8/31/2002 0:00,TPA,Tampa International,UAL,Property Damage,Checkpoint,Luggage (all types including footlockers),50.00 ,Approved,50.00 ,Approve in Full
18580,21-Nov-02,9/22/2002 0:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checkpoint,Jewelry - Fine,325.00 ,Settled,280.25 ,Settle
0703501M,22-Nov-02,11/22/2002 0:00,LGB,Long Beach,Jet Blue,Passenger Property Loss,Checkpoint,Jewelry - Fine,747.13 ,Approved,747.13 ,Approve in Full
0616748L,22-Nov-02,10/28/2002 0:00,IAD,Washington Dulles International,UAL,Passenger Property Loss,Checkpoint,Computer - Laptop,3200.00 ,Denied,0.00 ,Deny
2004052453320,22-Nov-02,10/28/2002 0:00,DFW,Dallas-Fort Worth International Airport,America West,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Locks,190.00 ,Settled,35.00 ,Settle
21014,22-Nov-02,10/8/2002 0:00,SEA,Seattle-Tacoma International,UAL,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),209.27 ,Settled,193.85 ,Settle
17662,25-Nov-02,8/15/2002 0:00,BDL,Bradley International Airport,Southwest Airlines,Property Damage,Checkpoint,Computer - Laptop,182.53 ,Approved,183.00 ,Approve in Full
20072,25-Nov-02,10/18/2002 0:00,LGA,LaGuardia,American Airlines,Passenger Property Loss,Checked Baggage,Other,43.35 ,Approved,43.00 ,Approve in Full
20669,25-Nov-02,11/5/2002 0:00,DTW,Detroit Metropolitan Wayne County Airport,Northwest Airlines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,14.00 ,Approved,14.00 ,Approve in Full
20750,25-Nov-02,11/11/2002 0:00,MIA,Miami International Airport,Air Canada,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),215.00 ,Approved,155.00 ,Approve in Full
20851,25-Nov-02,10/3/2002 0:00,BNA,Nashville International,Delta Air Lines,Property Damage,Checkpoint,Baby - Strollers; car seats; playpen; etc.,110.49 ,Approved,110.00 ,Approve in Full
21121,25-Nov-02,11/13/2002 0:00,SJC,Norman Y Mineta San Jose International,Alaska Airlines,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),50.00 ,Approved,50.00 ,Approve in Full
19753,25-Nov-02,10/17/2002 0:00,SEA,Seattle-Tacoma International,Alaska Airlines,Passenger Property Loss,Checkpoint,Jewelry - Fine,2500.00 ,Settled,1800.00 ,Settle
18993,26-Nov-02,9/24/2002 0:00,EWR,Newark International Airport,USAir,Passenger Property Loss,Checkpoint,Jewelry - Fine,122.00 ,Approved,122.00 ,Approve in Full
20502,26-Nov-02,11/5/2002 0:00,IAH,Houston - George Bush Intercontinental Airport,Northwest Airlines,Property Damage,Checked Baggage,Other,37.00 ,Approved,37.00 ,Approve in Full
29647,26-Nov-02,10/27/2002 0:00,LAX,Los Angeles International Airport,UAL,Property Damage,Checkpoint,Luggage (all types including footlockers),65.00 ,Approved,65.00 ,Approve in Full
19989,26-Nov-02,10/24/2002 0:00,SAN,San Diego International,American Airlines,Passenger Property Loss,Checkpoint,Cameras - Digital,450.00 ,Settled,315.00 ,Settle
20410,26-Nov-02,10/25/2002 0:00,DEN,Denver International Airport,UAL,Property Damage,Checkpoint,Cameras - Digital,189.00 ,Settled,94.50 ,Settle
20105,27-Nov-02,9/18/2002 0:00,MCO,Orlando International Airport,UAL,Property Damage,Checkpoint,Luggage (all types including footlockers),95.00 ,Approved,95.00 ,Approve in Full
0617707L,27-Nov-02,11/23/2002 0:00,JFK,John F. Kennedy International,American Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),500.00 ,Settled,315.28 ,Settle
20905,29-Nov-02,11/11/2002 0:00,TUL,Tulsa International Airport,Northwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),69.00 ,Approved,69.00 ,Approve in Full
21080,29-Nov-02,11/8/2002 0:00,MCO,Orlando International Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Other,169.97 ,Approved,170.00 ,Approve in Full
21184,29-Nov-02,11/15/2002 0:00,PHX,Phoenix Sky Harbor International,UAL,Property Damage,Checkpoint,Cameras - Digital,100.00 ,Approved,86.00 ,Approve in Full
21204,29-Nov-02,11/18/2002 0:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),350.00 ,Approved,350.00 ,Approve in Full
21392,29-Nov-02,11/17/2002 0:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),129.00 ,Approved,129.00 ,Approve in Full
29626,29-Nov-02,10/24/2002 0:00,TUS,Tucson International,Northwest Airlines,Property Damage,Other,Luggage (all types including footlockers),150.00 ,Denied,0.00 ,Deny
20467,29-Nov-02,10/22/2002 0:00,BWI,Baltimore/Washington Intl Thurgood Marshall,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),280.00 ,Settled,266.00 ,Settle
21353,29-Nov-02,11/21/2002 0:00,MCO,Orlando International Airport,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),250.00 ,Settled,218.50 ,Settle
20518,3-Dec-02,10/30/2002 0:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Passenger Property Loss,Checkpoint,Jewelry - Fine,45.99 ,Approved,46.00 ,Approve in Full
20799,3-Dec-02,11/11/2002 0:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checkpoint,Jewelry - Fine,100.00 ,Approved,100.00 ,Approve in Full
21303,3-Dec-02,11/21/2002 0:00,LAS,McCarran International,American Airlines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,69.17 ,Approved,69.00 ,Approve in Full
21306,3-Dec-02,9/14/2002 0:00,JFK,John F. Kennedy International,American Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),51.00 ,Approved,51.00 ,Approve in Full
21519,3-Dec-02,11/15/2002 0:00,BUF,Buffalo Niagara International,Delta Air Lines,Passenger Property Loss,Checkpoint,Jewelry - Fine,66.50 ,Approved,67.00 ,Approve in Full
20795,3-Dec-02,11/10/2002 0:00,LGA,LaGuardia,USAir,Passenger Property Loss,Checkpoint,DVD/CD Players,7.50 ,Denied,0.00 ,Deny
0616791L,3-Dec-02,11/19/2002 0:00,MDW,Midway International Airport,America Trans Air,Passenger Property Loss,Checkpoint,Other,175.00 ,Settled,157.50 ,Settle
19218,3-Dec-02,10/2/2002 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,PDA - Personal Data Assistants,499.00 ,Settled,280.48 ,Settle
29842,3-Dec-02,10/25/2002 0:00,LAX,Los Angeles International Airport,USAir,Property Damage,Checkpoint,PDA - Personal Data Assistants,326.02 ,Settled,321.74 ,Settle
0616573L,4-Dec-02,11/23/2002 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,2000.00 ,Approved,2000.00 ,Approve in Full
20121,4-Dec-02,10/29/2002 0:00,PBI,Palm Beach International,Delta Air Lines,Property Damage,Checkpoint,Luggage (all types including footlockers),47.70 ,Approved,48.00 ,Approve in Full
21651,4-Dec-02,9/15/2002 0:00,LAS,McCarran International,Southwest Airlines,Property Damage,Checkpoint,Other,90.00 ,Approved,90.00 ,Approve in Full
29881,4-Dec-02,10/29/2002 0:00,PDX,Portland International,American Airlines,Passenger Property Loss,Checkpoint,Currency,200.00 ,Approved,200.00 ,Approve in Full
20254,5-Dec-02,10/24/2002 0:00,ONT,Ontario International,Continental Airlines,Passenger Property Loss,Checkpoint,Clothing - Shoes; belts; accessories; etc.,150.00 ,Approved,150.00 ,Approve in Full
21591,6-Dec-02,11/18/2002 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Currency,240.00 ,Approved,240.00 ,Approve in Full
0905803M,6-Dec-02,11/26/2002 0:00,PHL,Philadelphia International Airport,USAir,Passenger Property Loss,Checkpoint,Currency,1000.00 ,Denied,0.00 ,Deny
0912801M,6-Dec-02,8/6/2002 0:00,JFK,John F. Kennedy International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,200.00 ,Settled,50.00 ,Settle
0702511M,9-Dec-02,10/11/2002 0:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines,Passenger Property Loss,Checkpoint,Jewelry - Fine,910.00 ,Approved,910.00 ,Approve in Full
21674,9-Dec-02,11/29/2002 0:00,LGA,LaGuardia,UAL,Property Damage,Checkpoint,Jewelry - Fine,397.50 ,Approved,398.00 ,Approve in Full
19214,9-Dec-02,8/13/2002 0:00,LGA,LaGuardia,UAL,Passenger Property Loss,Checkpoint,Other,1100.00 ,Settled,1046.42 ,Settle
21488,9-Dec-02,10/30/2002 0:00,STL,Lambert St. Louis International,Southwest Airlines,Property Damage,Checkpoint,Computer - Laptop,99.99 ,Settled,40.00 ,Settle
0715510M,10-Dec-02,11/17/2002 0:00,LAS,McCarran International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,147.00 ,Approved,147.00 ,Approve in Full
22415,10-Dec-02,11/24/2002 0:00,STL,Lambert St. Louis International,American Airlines,Property Damage,Checkpoint,Other,120.00 ,Approved,120.00 ,Approve in Full
